processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0800377-61.2021.8.10.0061,2021,TJMA,Viana,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,EXTINTO SEM MÉRITO,False,,6025
0800380-48.2017.8.10.0031,2017,TJMA,,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,2000.0,10186
0800381-40.2019.8.10.0103,2019,TJMA,Olho D'água das Cunhãs,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1257
0800384-56.2022.8.10.0081,2022,TJMA,Carolina,,,,ACORDO HOMOLOGADO,,,749
0800385-03.2021.8.19.0024,2021,TJRJ,Itaguaí,PESSOA FÍSICA,UNIVERSO ONLINE,Outros,ACORDO HOMOLOGADO,,,1047
0800387-45.2024.8.19.0063,2024,TJRJ,Três Rios,PESSOA FÍSICA,VOLTZ MOTORS DO BRASIL COMERCIO DE MOTOCICLETAS,Outros,PROCEDENTE,True,1000.0,4500
0800388-08.2025.8.19.0059,2025,TJRJ,Silva Jardim,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,PARCIALMENTE PROCEDENTE,True,11000.0,4648
0800388-46.2022.8.18.0057,2022,TJPI,Jaicós,PESSOA FÍSICA,BANCO BMG,Banco e financeira,PARCIALMENTE PROCEDENTE,True,3000.0,8159
0800388-97.2018.8.10.0125,2018,TJMA,São João Batista,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,EXTINTO SEM MÉRITO,False,,4151
0800390-14.2020.8.10.0023,2020,TJMA,,PESSOA FÍSICA,VRG LINHAS AEREAS,Transporte aéreo,IMPROCEDENTE,False,,2053
0800390-47.2020.8.10.0012,2020,TJMA,,,,,EXTINTO SEM MÉRITO,False,,1774
0800391-67.2018.8.10.0023,2018,TJMA,,PESSOA FÍSICA,COMPANHIA ENERGETICA DO MARANHÃO - CEMAR,Energia,EXTINTO SEM MÉRITO,False,,1849
0800393-62.2020.8.19.0008,2020,TJRJ,Belford Roxo,PESSOA FÍSICA,EMPRESA GONTIJO DE TRANSPORTES LIMITADA,Outros,ACORDO HOMOLOGADO,,,871
0800394-20.2022.8.19.0253,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1267
0800395-65.2024.8.10.0065,2024,TJMA,Alto Parnaíba,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1431
0800398-25.2022.8.20.5137,2022,TJRN,Campo Grande,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,IMPROCEDENTE,False,,10621
0800398-31.2020.8.19.0058,2020,TJRJ,Saquarema,PESSOA FÍSICA,TAM LINHAS AEREAS,Transporte aéreo,ACORDO HOMOLOGADO,,,1207
